Date,Adj Close,Close,High,Low,Open,Volume
2022-11-28,962.9207763671875,990.7725219726562,992.2625122070312,973.0,976.25,1060000
2022-11-29,977.7784423828125,1006.0599975585938,1018.75,986.5,987.5,1474460
2022-11-30,980.8229370117188,1009.1925048828125,1016.9500122070312,992.02001953125,1006.0599975585938,6267780
2022-12-01,974.2942504882812,1002.4749755859375,1017.4949951171875,996.75,1009.5,1058520
2022-12-02,959.798583984375,987.5599975585938,1006.885009765625,983.9625244140625,1002.4749755859375,1392340
2022-12-05,959.8471069335938,987.6099853515625,992.5,977.635009765625,987.989990234375,1699980
2022-12-06,967.5687866210938,995.5549926757812,999.5,978.75,987.0499877929688,1362180
2022-12-07,967.5565795898438,995.54248046875,1003.95751953125,991.4124755859375,996.0,1139120
2022-12-08,962.429931640625,990.2675170898438,1004.9500122070312,986.5499877929688,995.0,812480
2022-12-09,983.6365356445312,1012.0875244140625,1014.7474975585938,992.2100219726562,998.4000244140625,1535100
2022-12-12,995.5714111328125,1024.3675537109375,1026.0,1007.25,1012.5,1621200
2022-12-13,990.7581176757812,1019.4149780273438,1031.7974853515625,1016.5,1028.050048828125,982680
2022-12-14,974.974609375,1003.1749877929688,1022.532470703125,1000.33251953125,1019.2575073242188,1633600
2022-12-15,959.1498413085938,986.8925170898438,1007.4974975585938,981.7224731445312,1003.1749877929688,791080
2022-12-16,959.191162109375,986.9349975585938,993.0,978.5050048828125,986.25,1386420
2022-12-19,975.8566284179688,1004.08251953125,1006.0,989.9974975585938,990.0,1308960
2022-12-20,978.4758911132812,1006.7775268554688,1008.3925170898438,992.552490234375,1007.5,933520
2022-12-21,987.1572875976562,1015.7100219726562,1017.4000244140625,1003.1074829101562,1008.25,1407560
2022-12-22,986.7879638671875,1015.3300170898438,1022.0,1007.875,1019.75,753760
2022-12-23,978.3397216796875,1006.6375122070312,1022.75,1002.7525024414062,1010.0,1488080
2022-12-26,966.9078979492188,994.875,1012.282470703125,993.0,1008.7474975585938,667640
2022-12-27,961.003662109375,988.7999877929688,1000.885009765625,987.25,995.0,805820
2022-12-28,964.2886962890625,992.1799926757812,994.7949829101562,985.5,989.5,706920
2022-12-29,962.5587768554688,990.4000244140625,995.8775024414062,981.5275268554688,992.0,797020
2022-12-30,952.7426147460938,980.2999877929688,994.5,978.092529296875,991.9774780273438,852880
2023-01-02,950.5826416015625,978.0775146484375,985.75,975.0625,980.83251953125,503280
2023-01-03,958.6370849609375,986.364990234375,988.0474853515625,973.7974853515625,979.9500122070312,628300
2023-01-04,948.5586547851562,975.9949951171875,989.9000244140625,975.0,989.0,639680
2023-01-05,961.003662109375,988.7999877929688,994.70751953125,975.9749755859375,977.0,1027860
2023-01-06,966.3125610351562,994.2625122070312,996.322509765625,988.8275146484375,990.0,787720
2023-01-09,976.0534057617188,1004.2849731445312,1008.2150268554688,994.8250122070312,996.7474975585938,722880
2023-01-10,973.0526733398438,1001.197509765625,1009.4500122070312,997.7525024414062,1003.1525268554688,633360
2023-01-11,960.1434936523438,987.9149780273438,1004.2449951171875,985.8699951171875,1003.5,650200
2023-01-12,965.7295532226562,993.6624755859375,997.5,987.0,987.9149780273438,661240
2023-01-13,961.409423828125,989.217529296875,997.5,986.2525024414062,997.5,695420
2023-01-16,959.0404663085938,986.780029296875,992.0,985.0499877929688,992.0,485300
2023-01-17,969.2525024414062,997.2874755859375,998.3099975585938,985.635009765625,986.7949829101562,803740
2023-01-18,963.3046264648438,991.16748046875,1002.094970703125,988.66748046875,997.4974975585938,727980
2023-01-19,956.39208984375,984.0549926757812,994.75,980.58251953125,991.16748046875,619980
2023-01-20,933.0156860351562,960.0025024414062,983.3925170898438,957.4924926757812,983.0050048828125,1440440
2023-01-23,941.1333618164062,968.35498046875,972.0,957.552490234375,962.5,758000
2023-01-24,937.4207763671875,964.5349731445312,971.7000122070312,957.4400024414062,970.0,754240
2023-01-25,934.7384033203125,961.7750244140625,967.5250244140625,957.5,967.4500122070312,823200
2023-01-27,933.807861328125,960.8175048828125,969.7000122070312,951.302490234375,963.0025024414062,895540
2023-01-30,931.356201171875,958.2949829101562,960.6824951171875,948.9000244140625,960.2999877929688,996600
2023-01-31,924.1569213867188,950.8875122070312,960.0,946.4500122070312,960.0,2350000
2023-02-01,927.6605834960938,954.4924926757812,958.8524780273438,945.7625122070312,955.0,1376100
2023-02-02,921.0881958007812,947.72998046875,956.4500122070312,942.5250244140625,956.4500122070312,1418440
2023-02-03,923.5033569335938,950.2150268554688,952.7324829101562,938.5050048828125,950.27001953125,1111560
2023-02-06,924.3392333984375,951.0750122070312,953.0,937.7150268554688,950.0,1382680
2023-02-07,922.2254028320312,948.9000244140625,954.9949951171875,944.0,951.2000122070312,797460
2023-02-08,923.0465698242188,949.7449951171875,953.2424926757812,944.5075073242188,947.5,465340
2023-02-09,923.3089599609375,950.0150146484375,954.217529296875,947.54248046875,949.9500122070312,694680
2023-02-10,924.453369140625,951.1925048828125,953.5075073242188,943.7525024414062,950.5,527660
2023-02-13,924.5966796875,951.3400268554688,959.9500122070312,947.4974975585938,954.75,649780
2023-02-14,927.3229370117188,954.14501953125,963.0,951.375,955.739990234375,771780
2023-02-15,935.97509765625,963.0474853515625,964.9400024414062,946.5025024414062,953.75,639960
2023-02-16,953.8529663085938,981.4425048828125,989.9924926757812,957.0,971.5,3480140
2023-02-17,924.3294677734375,951.0650024414062,978.7525024414062,941.1024780273438,978.7525024414062,3768700
2023-02-20,914.695556640625,941.1525268554688,957.25,939.0,951.5,1306220
2023-02-21,915.9420166015625,942.4349975585938,946.6900024414062,938.0,944.0549926757812,899080
2023-02-22,907.4598999023438,933.70751953125,944.1400146484375,931.5574951171875,944.1400146484375,841600
2023-02-23,906.189208984375,932.4000244140625,941.20751953125,927.5499877929688,932.9974975585938,985360
2023-02-24,907.7879028320312,934.0449829101562,942.4500122070312,930.75,937.0625,777500
2023-02-27,904.9620971679688,931.1375122070312,942.25,924.5999755859375,935.0,1032500
2023-02-28,907.2582397460938,933.5,936.25,923.0075073242188,931.510009765625,2183640
2023-03-01,912.5477294921875,938.9425048828125,941.02001953125,928.7575073242188,935.0,1278520
2023-03-02,898.1103515625,924.0875244140625,940.0,922.8400268554688,939.9974975585938,781400
2023-03-03,896.5626220703125,922.4949951171875,930.7324829101562,920.2750244140625,927.4500122070312,920360
2023-03-06,899.71875,925.7424926757812,927.7025146484375,921.25,926.0999755859375,1058980
2023-03-08,899.8839721679688,925.9124755859375,928.6900024414062,919.8775024414062,920.25,914920
2023-03-09,900.7319946289062,926.7849731445312,928.9500122070312,921.5,925.0,1132300
2023-03-10,898.3046875,924.2874755859375,926.5,917.7525024414062,926.5,472680
2023-03-13,890.126220703125,915.8724975585938,924.9949951171875,913.0025024414062,921.4974975585938,729520
2023-03-14,887.5604858398438,913.2324829101562,921.75,910.6500244140625,917.5,877580
2023-03-15,874.3767700195312,899.66748046875,918.5549926757812,894.0,915.0,1559160
2023-03-16,896.5989990234375,922.532470703125,925.0,898.3875122070312,899.5,1660860
2023-03-17,916.4013061523438,942.907470703125,943.75,923.7474975585938,924.9450073242188,2668600
2023-03-20,920.2742919921875,946.8925170898438,949.5,932.60498046875,945.0,1512900
2023-03-21,919.7664184570312,946.3699951171875,962.9500122070312,941.0025024414062,949.5,1955240
2023-03-22,914.5328979492188,940.9849853515625,950.4500122070312,934.9349975585938,950.4500122070312,564960
2023-03-23,925.454345703125,952.2224731445312,958.4949951171875,935.5075073242188,940.9849853515625,1133700
2023-03-24,921.015380859375,947.655029296875,955.0,944.4000244140625,950.2525024414062,525980
2023-03-27,917.9976196289062,944.5499877929688,956.3900146484375,940.7525024414062,950.0,717080
2023-03-28,920.6703491210938,947.2999877929688,950.9974975585938,942.5,945.0,709620
2023-03-29,925.8674926757812,952.6475219726562,956.25,943.8099975585938,946.5,972120
2023-03-31,957.5291748046875,985.2249755859375,987.594970703125,957.75,957.75,2968880
2023-04-03,957.575439453125,985.2725219726562,989.5,969.302490234375,989.2000122070312,1274800
